epsilon,accuracy,precision,recall,f1,roc_auc,detector,attack_evaluated
0.06,0.975721119002754,0.953941908713693,0.9997101029134657,0.9762899002052516,0.9993104701780715,COMBINED,FGSM
0.07,0.9758660675460211,0.9539546460176991,1.0,0.9764347887622956,0.9996766128456345,COMBINED,FGSM
0.08,0.9758660675460211,0.9539546460176991,1.0,0.9764347887622956,0.9998324025902824,COMBINED,FGSM
0.09,0.9758660675460211,0.9539546460176991,1.0,0.9764347887622956,0.9998750740631589,COMBINED,FGSM
0.1,0.9758660675460211,0.9539546460176991,1.0,0.9764347887622956,0.9998983532320154,COMBINED,FGSM
0.01,0.7747499637628642,0.9252860668611174,0.597767792433686,0.7263120817189151,0.9280495516858581,COMBINED,PGD
0.02,0.842730830555153,0.9382761816496756,0.7337295260182635,0.8234911338864487,0.9580260827959778,COMBINED,PGD
0.03,0.8886795187708364,0.9447669596948084,0.8256269024496303,0.8811881188118812,0.9710141572013279,COMBINED,PGD
0.04,0.9254964487606899,0.9490592014685636,0.8992607624293376,0.9234891336707354,0.9818613254448606,COMBINED,PGD
0.05,0.9526743006232787,0.9518229166666666,0.9536164661545151,0.9527188472956339,0.9893886909167394,COMBINED,PGD
0.06,0.9531091462530802,0.9518647007805724,0.954486157414118,0.9531736266917565,0.9899160649397207,COMBINED,PGD
0.07,0.956515437019858,0.9521895190236899,0.9612987389476736,0.9567224466243508,0.9905932198244141,COMBINED,PGD
0.08,0.9563704884765908,0.952175786299009,0.9610088418611393,0.9565719232433992,0.9905301685737481,COMBINED,PGD
0.09,0.9697057544571677,0.9534070239261229,0.9876793738222931,0.9702406379040296,0.9948732042710721,COMBINED,PGD
0.1,0.969488331642267,0.953387458006719,0.9872445281924916,0.9700206508580788,0.9949006014156466,COMBINED,PGD
