model_name,accuracy,precision,recall,f1,roc_auc,train_time,epsilon,attack_type
XGBoost,0.9956521739130435,0.9913793103448276,1.0,0.9956709956709957,0.9999810964083176,0.17934203147888184,0.08,fgsm
LightGBM,0.9956521739130435,0.9913793103448276,1.0,0.9956709956709957,0.9999847721067002,0.12861299514770508,0.08,fgsm
Random Forest,0.9952898550724638,0.990667623833453,1.0,0.995311936530833,0.9999606175173283,0.303783655166626,0.09,fgsm
XGBoost,0.9956521739130435,0.9913793103448276,1.0,0.9956709956709957,0.9999942239025414,0.17523193359375,0.09,fgsm
LightGBM,0.9967391304347826,0.9935205183585313,1.0,0.9967497291440953,0.9999952741020794,0.1226799488067627,0.09,fgsm
Random Forest,0.9967391304347826,0.9935205183585313,1.0,0.9967497291440953,0.999986872505776,0.28850626945495605,0.1,fgsm
XGBoost,0.9989130434782608,0.9978308026030369,1.0,0.998914223669924,0.9999968494013862,0.15972375869750977,0.1,fgsm
LightGBM,0.9989130434782608,0.9978308026030369,1.0,0.998914223669924,1.0,0.12079358100891113,0.1,fgsm
Random Forest,0.8344202898550724,0.803818301514154,0.8847826086956522,0.8423594342876854,0.9324742701113212,0.43355774879455566,0.01,pgd
XGBoost,0.8945652173913043,0.8721804511278195,0.9246376811594202,0.8976433345058037,0.9642911153119091,0.2645914554595947,0.01,pgd
LightGBM,0.902536231884058,0.8807402330363262,0.9311594202898551,0.9052483268756605,0.966972274732199,0.19387269020080566,0.01,pgd
Random Forest,0.8525362318840579,0.816114359974009,0.9101449275362319,0.8605686879068174,0.9403539172442763,0.4288175106048584,0.02,pgd
XGBoost,0.8942028985507247,0.8660834454912517,0.9326086956521739,0.8981158408932309,0.9647448015122874,0.27025485038757324,0.02,pgd
LightGBM,0.8989130434782608,0.8742352141400408,0.9318840579710145,0.9021396001403017,0.9686063852131905,0.13509488105773926,0.02,pgd
Random Forest,0.8670289855072464,0.8215873015873015,0.9376811594202898,0.8758037225042301,0.9452158160050411,0.4031403064727783,0.03,pgd
XGBoost,0.8985507246376812,0.8671562082777036,0.941304347826087,0.9027102154273802,0.9666314849821466,0.2574431896209717,0.03,pgd
LightGBM,0.9036231884057971,0.8748317631224765,0.9420289855072463,0.9071877180739707,0.9703665196387312,0.13898134231567383,0.03,pgd
Random Forest,0.8960144927536232,0.8465440710209258,0.967391304347826,0.9029421711193778,0.9641409367779878,0.41054725646972656,0.04,pgd
XGBoost,0.9192028985507247,0.8895622895622896,0.9572463768115942,0.9221640488656195,0.9773939298466708,0.25456976890563965,0.04,pgd
LightGBM,0.9221014492753623,0.8997940974605353,0.95,0.9242157208318647,0.9816755933627388,0.13225769996643066,0.04,pgd
Random Forest,0.9159420289855073,0.8717616580310881,0.9753623188405797,0.920656634746922,0.9757256878806972,0.39881038665771484,0.05,pgd
XGBoost,0.936231884057971,0.9100817438692098,0.9681159420289855,0.9382022471910112,0.9851564797311488,0.24224019050598145,0.05,pgd
LightGBM,0.9438405797101449,0.9175187457396047,0.9753623188405797,0.9455567263786442,0.9888778617937408,0.13660240173339844,0.05,pgd
Random Forest,0.9181159420289855,0.8756510416666666,0.9746376811594203,0.9224965706447188,0.9750934677588741,0.41420960426330566,0.06,pgd
XGBoost,0.9326086956521739,0.9022911051212938,0.9702898550724638,0.9350558659217877,0.9853376391514387,0.25104832649230957,0.06,pgd
LightGBM,0.938768115942029,0.9167240192704749,0.9652173913043478,0.9403459230497706,0.9881280193236716,0.13057470321655273,0.06,pgd
Random Forest,0.9159420289855073,0.8746736292428199,0.9710144927536232,0.9203296703296703,0.9773177903801722,0.4046807289123535,0.07,pgd
XGBoost,0.9369565217391305,0.9074324324324324,0.9731884057971014,0.9391608391608391,0.9858170552404957,0.2612025737762451,0.07,pgd
LightGBM,0.9427536231884058,0.9202200825309491,0.9695652173913043,0.9442484121383204,0.9875619617727367,0.1286931037902832,0.07,pgd
Random Forest,0.9159420289855073,0.871280724450194,0.9760869565217392,0.9207108680792891,0.9787486872505776,0.40045905113220215,0.08,pgd
XGBoost,0.938768115942029,0.9071956960322798,0.9775362318840579,0.9410533658876875,0.9863689350976685,0.2567610740661621,0.08,pgd
LightGBM,0.9427536231884058,0.9196428571428571,0.9702898550724638,0.9442877291960508,0.9879794160890569,0.1336193084716797,0.08,pgd
Random Forest,0.9478260869565217,0.9131016042780749,0.9898550724637681,0.9499304589707928,0.9909845620667928,0.3745698928833008,0.09,pgd
XGBoost,0.9634057971014492,0.9401238816242258,0.9898550724637681,0.9643487469114014,0.9942091997479522,0.24422073364257812,0.09,pgd
LightGBM,0.9695652173913043,0.9518828451882845,0.9891304347826086,0.9701492537313433,0.9954584120982988,0.14213848114013672,0.09,pgd
Random Forest,0.9489130434782609,0.9154929577464789,0.9891304347826086,0.9508881922675027,0.9904442344045369,0.38954591751098633,0.1,pgd
XGBoost,0.9637681159420289,0.9413793103448276,0.9891304347826086,0.9646643109540636,0.994796261289645,0.26012110710144043,0.1,pgd
LightGBM,0.967391304347826,0.9535864978902954,0.9826086956521739,0.9678800856531049,0.9953166351606805,0.13773131370544434,0.1,pgd
